apn,number_of_buildings,view_code,parcel_level_latitude,parcel_level_longitude,situs_house_number,situs_house_number_suffix,situs_direction,situs_street_name,situs_mode,situs_unit_number,situs_city,situs_state,situs_zip_code,situs_county,assessed_land_value,land_square_footage,year_built,effective_year_built,bedrooms_all_buildings,total_rooms_all_buildings,total_bath_rooms_calculated_all_buildings,total_baths_primary_building,full_baths_all_buildings,half_baths_all_buildings,pool_indicator,pool_code,stories_number,universal_building_square_feet,building_square_feet,living_square_feet_all_buildings,ground_floor_square_feet,basement_square_feet,garage_parking_square_feet,avm_value_amount
1212021390000,1,,34.082416,-117.170471,919,,,RILEY,WAY,,REDLANDS,CA,923741807,SAN BERNARDINO,50634,7500,2001,2000,3,6,2,2,2,,,,1,1369,1811,1369,1369,,442,379600
168271480000,1,,34.066693,-117.140248,1100,,,MENDOCINO,WAY,,REDLANDS,CA,923744976,SAN BERNARDINO,117037,8136,1999,1999,3,8,2,2,2,,,,1,1730,2150,1730,1730,,420,460100
170032080000,1,,34.064878,-117.168202,1026,,,CAMPUS,AVE,,REDLANDS,CA,923743617,SAN BERNARDINO,78530,8850,1924,1930,1,5,1,1,1,,,,1,780,780,780,572,,216,328400
173291520000,1,,34.049233,-117.16992,630,,,ORCHARD,DR,,REDLANDS,CA,923746243,SAN BERNARDINO,129713,8000,1958,1959,3,6,2,2,2,,Y,1,1,1188,1188,1188,1188,,462,381500
170421070000,1,VFA,34.05722,-117.147339,1600,,,LISA,LN,,REDLANDS,CA,923744251,SAN BERNARDINO,60238,8019,1978,1978,4,8,3,2.5,2,1,N,,2,1781,2223,1781,941,,442,425000
1212361030000,1,,34.067121,-117.170094,946,,,BARBRA,LN,,REDLANDS,CA,923743654,SAN BERNARDINO,40423,7546,1955,1955,3,6,2,2,2,,,,1,1068,1328,1068,1068,,260,314000
167302090000,1,,34.067648,-117.181088,1144,,,ALTA,ST,,REDLANDS,CA,923743371,SAN BERNARDINO,5381,6200,1972,1972,3,5,2,2,2,,,,1,1104,1566,1104,1104,,462,294600
294191070000,1,VFA,34.014134,-117.172242,940,,,CREEK VIEW,LN,,REDLANDS,CA,923736974,SAN BERNARDINO,271508,28944,2002,2002,4,11,4,3,3,1,Y,00S,2,4099,4825,4099,2692,,726,857200
1212141540000,1,,34.07758,-117.166282,1602,,,DEANNA,WAY,,REDLANDS,CA,923744713,SAN BERNARDINO,55753,14520,1989,1990,4,7,3,3,3,,,,2,1781,2429,1781,1034,,648,438200
173491360000,1,,34.054541,-117.155237,1415,,E,PALM,AVE,,REDLANDS,CA,923745461,SAN BERNARDINO,33846,9500,1979,1979,3,7,2,2,2,,,,1,1459,1965,1472,1459,,506,421100
1212331070000,1,,34.070795,-117.17244,1313,,,HUNTER,DR,,REDLANDS,CA,923742525,SAN BERNARDINO,93636,8100,1977,1978,3,6,2,2,2,,,,1,1232,1716,1232,1232,,484,340000
170321340000,1,,34.056262,-117.140378,11,,,CRAFTON,CT,,REDLANDS,CA,923744204,SAN BERNARDINO,88330,7468,1956,1956,2,4,1,1,1,,,,1,791,791,791,791,,480,339100
170401220000,1,,34.055856,-117.149187,1566,,,CHRISTOPHER,LN,,REDLANDS,CA,923744245,SAN BERNARDINO,53899,2100,1975,1975,2,4,2,2,2,,,,1,1105,1607,1105,1105,,502,312900
167381020000,1,,34.076849,-117.180016,1573,,,LASSEN,ST,,REDLANDS,CA,923742355,SAN BERNARDINO,85833,8100,1962,1962,3,5,2,2,2,,,,1,1060,1540,1052,1060,,480,328700
167422340000,1,,34.086271,-117.188659,2095,,,CLEMENTINE,ST,,REDLANDS,CA,923741631,SAN BERNARDINO,79686,8132,2017,2017,4,10,4,3.5,3,1,,,,3163,3747,3163,1740,,,622500
168621350000,1,,34.065585,-117.146668,942,,N,DEARBORN,ST,,REDLANDS,CA,923743966,SAN BERNARDINO,138893,7500,1987,1987,4,9,3,2.5,2,1,Y,00S,2,2152,2638,2152,969,,486,509200
176061100000,1,,34.029181,-117.166893,1514,,S,CENTER,ST,,REDLANDS,CA,923737009,SAN BERNARDINO,323748,33500,1989,1989,5,9,3,2.5,3,,Y,00H,2,3324,4006,3343,1795,,682,1142300
172362080000,1,,34.036798,-117.195067,1349,,W,CYPRESS,AVE,,REDLANDS,CA,923735611,SAN BERNARDINO,111525,9720,1958,1958,3,7,2,2,2,,Y,,1,1980,1980,1980,1500,,400,476600
173131460000,1,,34.042409,-117.182118,662,,W,CLIFTON,AVE,,REDLANDS,CA,923735841,SAN BERNARDINO,124985,11700,1974,1974,4,8,2,2,2,,Y,1,1,1800,2306,1812,1800,,506,510600
176062130000,1,VGO,34.026174,-117.16544,610,,W,SUNSET,DR,,REDLANDS,CA,923737290,SAN BERNARDINO,29151,43560,1970,1971,5,10,6,5.5,5,1,Y,,2,3917,3917,3917,3342,,875,1163100
172044050000,1,VFA,34.039721,-117.206676,172,,,CHISHOLM,TRL,,REDLANDS,CA,923734861,SAN BERNARDINO,85027,10800,1978,1978,5,9,3,3,3,,,,2,2824,3454,2824,1560,,630,571100
168461500000,1,,34.067784,-117.15352,1444,,,PADUA,AVE,,REDLANDS,CA,923743868,SAN BERNARDINO,58039,7725,1979,1979,3,5,2,2,2,,N,,1,1476,1959,1476,1476,,483,382000
174411020000,1,,34.046629,-117.145581,423,,,SILVERTREE,LN,,REDLANDS,CA,923746349,SAN BERNARDINO,73001,17550,1978,1979,3,8,2,2,2,,,,1,2015,2740,2013,2015,,725,614800
1212451190000,1,,34.079004,-117.158743,1688,,,HARRISON,LN,,REDLANDS,CA,923744706,SAN BERNARDINO,139634,8328,2015,2015,3,6,2,2,2,,,,,2129,2609,2129,2129,,,481700
169032170000,1,,34.064436,-117.190424,907,,,LAWTON,ST,,REDLANDS,CA,923743016,SAN BERNARDINO,48505,12416,1930,1930,2,4,1,1,1,,,,1,734,734,734,734,,,247700
173191390000,1,,34.054109,-117.16121,719,,,NAPA,AVE,,REDLANDS,CA,923745463,SAN BERNARDINO,115986,6500,1990,1990,4,8,3,3,2,1,,,2,2358,2798,2358,1158,,440,532200
167811400000,1,,34.070858,-117.17505,620,,,CHURCH,PL,3,REDLANDS,CA,923742463,SAN BERNARDINO,47750,1268,1985,1985,3,5,3,2.5,2,1,,,2,1268,1751,1268,531,,483,268800
1212111040000,1,,34.079239,-117.163639,1719,,,TIVOLI,ST,,REDLANDS,CA,923744744,SAN BERNARDINO,146447,7896,2005,2006,6,10,3,3,3,,,,2,3655,4096,3655,1856,,441,595000
167111150000,1,,34.080488,-117.18599,1737,,,OHIO,ST,,REDLANDS,CA,923742252,SAN BERNARDINO,65900,6400,1946,1946,2,4,1,1,1,,,,1,746,746,746,746,,,253600
167134210000,1,,34.078935,-117.17571,623,,,DOYLE,AVE,,REDLANDS,CA,923742403,SAN BERNARDINO,23888,7600,1971,1971,4,8,3,2,2,1,,,1,1308,1308,1343,1308,,,315900
170471770000,1,VFA,34.057723,-117.148874,1569,,,LISA,LN,,REDLANDS,CA,923744239,SAN BERNARDINO,50171,9230,1981,1981,3,7,2,2,2,,N,,1,1540,2069,1540,1540,,529,403200
176011200000,1,,34.033646,-117.167892,1500,,,MYRA,ST,,REDLANDS,CA,923737064,SAN BERNARDINO,94557,14880,2002,2002,4,9,3,3,3,,Y,1,1,2283,2759,2283,2283,,476,711200
168891020000,1,,34.079272,-117.155733,1705,,,JUSTIN,CT,,REDLANDS,CA,923741919,SAN BERNARDINO,157149,7699,2014,2014,4,8,3,3,3,,,,,2721,3392,2721,1309,,,750000
174253140000,1,,34.035314,-117.155272,301,,,FELISA,CT,,REDLANDS,CA,923737170,SAN BERNARDINO,271232,16900,1961,1995,3,6,2,3,2,,Y,1,1,2886,3460,2886,1724,,574,913600
168661030000,1,,34.069684,-117.14228,1264,,,VIA BARCELONA,,,REDLANDS,CA,923743998,SAN BERNARDINO,62077,5500,1987,1987,3,6,3,2.5,2,1,Y,00S,2,1832,2305,1832,920,,473,393400
174153180000,1,VFA,34.04622,-117.155477,1322,,,ROLLING HILLS,RD,,REDLANDS,CA,923746347,SAN BERNARDINO,104289,13200,1964,1953,3,5,2,2,2,,Y,1,1,1450,1450,1450,1450,,440,479000
168801050000,1,,34.073581,-117.140307,1757,,,VALLEY FALLS,AVE,,REDLANDS,CA,923745703,SAN BERNARDINO,168800,6765,2003,2003,4,9,3,3,3,,,,2,2778,3368,2778,1526,,590,561100
175351250000,1,,34.034541,-117.177937,729,,W,CRESCENT,AVE,,REDLANDS,CA,923736750,SAN BERNARDINO,189500,19400,1981,1981,3,7,3,2.5,2,1,Y,00S,1,2126,2566,2126,1166,,440,598300
299251410000,1,,34.044972,-117.129157,11489,,,WALNUT,ST,,REDLANDS,CA,923747717,SAN BERNARDINO,382367,109771,2004,2004,4,11,5,4.5,4,1,Y,00S,1,4378,5281,4378,4378,,903,1181000
170441300000,1,VFA,34.059441,-117.144446,462,,,JEFFERSON,ST,,REDLANDS,CA,923743997,SAN BERNARDINO,111200,7800,1978,1978,3,5,2,2,2,,,,1,1132,1638,1132,1132,,506,359500
168671540000,1,,34.066317,-117.145636,1038,,,JASMINE,ST,,REDLANDS,CA,923744925,SAN BERNARDINO,130050,9706,1988,1988,3,6,2,2,2,,,,1,1750,2226,1750,1750,,476,457900
167771050000,1,,34.074537,-117.186422,1518,,,WEBSTER,ST,,REDLANDS,CA,923742144,SAN BERNARDINO,81308,7920,1979,1979,4,6,2,2,2,,Y,1,1,1350,1854,1350,1350,,504,350700
174551260000,1,,34.053433,-117.147293,1602,,,ARCATA,DR,,REDLANDS,CA,923745590,SAN BERNARDINO,116733,12384,1990,1990,4,9,3,3,3,,Y,00S,1,2501,3161,2501,2316,,660,626400
169084130000,1,,34.065576,-117.178461,1005,,,TRIBUNE,ST,,REDLANDS,CA,923743425,SAN BERNARDINO,74909,6157,1901,1930,3,5,2,1,2,,,,2,1140,1140,1148,684,,,298600
172181210000,1,,34.042584,-117.194198,338,,S,SAN MATEO,ST,,REDLANDS,CA,923735033,SAN BERNARDINO,65703,9076,1963,1963,4,7,2,2,2,,Y,1,1,1590,2073,1590,1590,,483,456200
169082060000,2,,34.064893,-117.180018,930,,,6TH,ST,,REDLANDS,CA,923743305,SAN BERNARDINO,72828,6370,1955,1955,4,8,2,1,2,,Y,,1,730,730,1460,730,,,315200
172041160000,2,VFA,34.041082,-117.205657,145,,,CALLE CONSTANCIA,,,REDLANDS,CA,923734810,SAN BERNARDINO,37263,9540,1978,1978,8,14,4,2,4,,Y,1,1,1847,2507,3694,1847,,660,770800
169156040000,1,,34.060185,-117.184622,519,,,3RD,ST,,REDLANDS,CA,923743226,SAN BERNARDINO,117006,6098,1951,1981,3,5,1,,1,,,,1,840,840,744,,,,303000
173382110000,1,,34.047756,-117.163514,902,,,LYTLE,ST,,REDLANDS,CA,923746241,SAN BERNARDINO,43228,9450,1979,1979,4,10,3,2.5,2,1,,,2,2005,2446,2005,945,,441,415500
174641090000,1,,34.039281,-117.166526,132,,,CAMPBELL,AVE,,REDLANDS,CA,923736899,SAN BERNARDINO,309000,15820,2001,2001,4,10,5,4.5,4,1,,,2,4203,4908,4203,3133,,705,1207800
1212351180000,1,,34.066651,-117.172229,827,,E,BROCKTON,AVE,,REDLANDS,CA,923743608,SAN BERNARDINO,113300,8000,1969,1969,3,6,2,2,2,,,,1,1524,2004,1524,1524,,480,385600
